gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,35.9939,0.0067834230657914,0.0866099879330051,0.1271648803160644,0.8988099011205795,0.9559851923074
A1BG-AS1,113.742744,0.0298414761633779,0.0751332368257709,0.532623247998505,0.594294405827458,0.779337997138308
A1CF,0.15575875,-0.0062162296382661,0.1098007613376258,-0.3413533448632757,0.7328375934142599,
A2M,2345.3845,0.0453211097936591,0.0971580606492992,0.7465894669319852,0.4553114084094196,0.677644376962511
A2M-AS1,99.2684,-0.125481127590146,0.0940816729002104,-1.911715683389042,0.0559126715992304,0.2051052987013584
A2ML1,130.60405,0.0406874426521479,0.100064111143366,0.7934405643714517,0.4275211849166338,0.6556070659938703
A2MP1,2.6117241,-0.0031940962206064,0.1034920642214972,-0.0951099449104809,0.9242274989910958,0.9668976558277148
A3GALT2,2.5913427,1.085830142324017,0.3084526916911518,4.316512751657018,1.5851352797196447e-05,0.0027278494006107
A4GALT,43.706978,0.206454590616138,0.3149799864411585,2.257458765045383,0.023979423301374,0.1240908041486351
A4GNT,0.4736459,-0.0039875419469268,0.1072586571602672,-0.1560203467920674,0.8760169831985888,0.944843590794584
AA06,36.01548,0.1639214542244074,0.2029529438129119,2.0562333568781623,0.0397600284747381,0.1674227487140785
AAAS,217.23946,0.0478245916485529,0.0659145815317432,0.919359613539451,0.3579075062245029,0.5961899370532537
AACS,964.2301,-0.0347120195844996,0.0783480356873972,-0.6649221182101208,0.5061003079785056,0.7166895797606857
AACSP1,12.432919,0.0671717824663253,0.1098805188015534,1.2002486178441094,0.2300427986096487,0.4663942555222369
AADAC,0.07951963,-0.0009509158345566,0.109853219811365,-0.0517821722563827,0.9587022609699056,
AADACL2,0.0033327835,-0.0003692130629437,0.1369533578035323,-0.0067199782504969,0.9946382734592653,
AADACL2-AS1,0.6671978,0.0001440020703298,0.1067144987895771,0.0124016522924479,0.990105166747235,0.9956163405639832
AADACL3,0.040834043,-0.0013225717637489,0.1106662161843654,-0.038824761768428,0.969030102678558,
AADACL4,0.051535975,0.0014820209516735,0.1103664783062192,0.0627963750756483,0.9499286524445296,
AADACP1,0.8848534,0.0102623188404334,0.10824781666749,0.5682287765045448,0.5698796340007891,0.7628557560943205
AADAT,286.0991,-0.0088918213720833,0.0539501962242653,-0.1643968617283134,0.8694187339423495,0.9411328676323218
AAED1,75.09545,0.0246850699689689,0.071877136823835,0.4547456520536259,0.649292233537323,0.8154162918252802
AAGAB,856.1982,-0.0512541682653099,0.0725409326142048,-0.9347579994880512,0.3499130291414954,0.5894111294996293
AAK1,9200.889,-0.1334159792897396,0.0838187311899103,-1.45888309271677,0.1445972873510853,0.3596378239501055
AAMDC,71.12126,-0.042806489830555,0.0836612577434219,-0.7621665997702288,0.4459605777752892,0.6701986858301012
AAMP,935.53534,-0.0212502185732632,0.0534810526555655,-0.3498827677805102,0.7264266799709839,0.863881104715048
AANAT,2.773223,0.5145310787616502,0.3168052398323306,2.968369939926492,0.0029938377056059,0.0380229887991841
AAR2,227.91895,0.0403145384885136,0.0548667025902379,0.845379498477854,0.3978989873700101,0.6317530542218486
AARD,11.391519,0.0984666944892812,0.12653730002581,1.5370230019148037,0.1242876767001582,0.3303750423802081
AARS,4710.78,-0.0678946033399444,0.0614211270219141,-1.3883358429339785,0.1650348026428229,0.3866157152485826
AARS2,424.3114,0.1154354283749085,0.0671909889432157,2.1708033681793046,0.0299460392386276,0.1407921868852265
AARSD1,140.77203,0.0812719234710384,0.0789250963377271,1.326250437549698,0.1847567576521102,0.4114772715825865
AASDH,608.31024,-0.0398864340444388,0.0624976684013247,-0.8418147914750487,0.3998916311437085,0.6332021533069618
AASDHPPT,2142.7607,-0.1337584612055328,0.1031499701080613,-1.9238834107908265,0.0543691990691945,0.2017496132873416
AASS,738.41565,0.0757248906922182,0.1021448137476406,1.0956969957440337,0.2732113978743852,0.5141861934334575
AATBC,2.3837645,0.0560336216387582,0.1202308022506961,1.4018510649819598,0.1609597258718641,0.3813749570109263
AATF,483.24893,-0.0739627336199127,0.0647178162855401,-1.399760640826264,0.1615850077627505,0.3820886705556152
AATK,3243.4382,-0.01178890750157,0.0900407446226703,-0.0687120936489229,0.9452187916178612,0.9764647034368984
ABALON,2.4671643,-0.0254682079461496,0.1071827428153679,-0.7500083406403821,0.4532496814113937,0.6761130403107057
ABAT,5780.248,-0.1103269133114396,0.065417082843772,-0.512419310471635,0.6083575790400553,0.7877665077658533
ABCA1,963.3857,-0.0008734212283174,0.0963929214975461,0.0227264098556727,0.9818685092551652,0.9916689297757668
ABCA10,591.39056,0.0734519686821312,0.0934893778381432,1.208007448950521,0.2270443971264555,0.4629324278477043
ABCA11P,256.51227,0.1566748854952816,0.0799020447059963,2.466535215286804,0.0136427312833245,0.0890502321500785
ABCA12,14.082614,0.0605956372402923,0.1000695883188247,1.0608276452561292,0.288768236162952,0.5306489032724472
ABCA13,4.4655795,2.182436696218246,0.3005566098934612,-0.4210418814584705,0.6737244995272236,0.8311413990566363
ABCA17P,89.89681,0.0333945405229602,0.0842917941076643,0.6026263112998514,0.5467573127581129,0.7468926723732129
ABCA2,10961.722,0.4441072180688457,0.2962609761111997,-1.111154412444609,0.2665018900122879,0.5065094356458814
ABCA3,2719.6772,0.0764524814735939,0.0802250220471767,1.250691013525969,0.2110472303639877,0.444860312643776
ABCA4,18.985071,0.2470101737300566,0.2975263766101184,2.3496570323003576,0.0187907161118558,0.1072919524761311
ABCA5,2589.7646,-0.0312368277753027,0.0684244387298981,-0.0131738134381765,0.9894891216776962,0.9953694875318468
ABCA6,640.4262,-0.0200934152673902,0.0900478454675762,-0.6101324170061205,0.5417740941961435,0.7431306744883467
ABCA7,239.02475,0.2575814116496189,0.1925101382777723,2.464078067422708,0.01373661885855,0.0894443743399411
ABCA8,1649.4031,-0.1438002801965664,0.2952481214107778,-2.599712662182853,0.0093301847652887,0.0725116574433244
ABCA9,504.9669,0.0914295310312513,0.0918841418569445,1.471764599365587,0.1410844562935914,0.3545112143240034
ABCA9-AS1,0.57127756,0.0174040115388648,0.1089435801472877,0.7987259594707888,0.4244493308302186,0.6533268014625198
ABCB1,363.0989,0.2796425847575473,0.176059010342554,2.650789567694181,0.0080303857080008,0.0670883440216047
ABCB10,348.8996,-0.0106989028965287,0.0402614702623872,-0.2685188069508286,0.788300000397379,0.8985395440913423
ABCB11,4.032367,-0.0006536506551735,0.1015447622110242,-0.0152319146712382,0.9878471603867028,0.9942121810589452
ABCB4,11.105471,0.2554264389219804,0.166336785843466,2.586196590532743,0.0097041564607769,0.0739023034177777
ABCB5,0.19916707,-0.0088783434185755,0.1095913017095006,-0.3893831143177252,0.69699276120549,
ABCB6,373.0322,0.0767696749072557,0.0722123630492732,1.3586980008582634,0.1742423058587426,0.3981279547191316
ABCB7,428.0499,-0.1136740187024909,0.0690013299465062,-1.9667291839263017,0.0492144405023528,0.1898338998153847
ABCB8,452.50818,0.3159145063224433,0.1168592483552278,3.413888037798046,0.0006404288798532,0.0176260993084005
