,Gene,Coefficient
493,AGMO,0.0033098258287744434
494,AGO1,-0.00016409289680840267
495,AGO2,-0.0015439464117238647
496,AGO3,0.0007415957246776918
497,AGO4,0.0021410002917319282
498,AGPAT1,-0.001386339662238897
499,AGPAT2,0.0019418275331619078
500,AGPAT3,-0.0008771781285621985
501,AGPAT4,0.002369077655473694
502,AGPAT4-IT1,0.0023354710106627107
503,AGPAT5,-0.000855789862069172
504,AGPS,0.0003769939874813189
505,AGR2,-0.005342208508366532
506,AGR3,-0.0021910452023578973
507,AGRN,0.0017018776075372651
508,AGRP,0.0009181573029414
509,AGT,0.0035193692054594095
510,AGTPBP1,-0.0009727439114926475
511,AGTR1,-0.00013610625231398263
512,AGTR2,0.0027712523561932746
513,AGTRAP,-0.00019928229839926597
514,AGXT,-0.0011709682754257951
515,AGXT2,-0.0009403349791427765
516,AHCTF1,-0.0005092297017052413
517,AHCTF1P1,0.0003631701186008972
518,AHCY,-0.0004537827031050604
519,AHCYL1,-0.0020206475059691637
520,AHCYL2,-0.0007329336419832618
521,AHDC1,-0.00011082136905698368
522,AHI1,0.0012258866955628064
523,AHNAK,-7.46569248567648e-05
524,AHNAK2,-0.002489577325153777
525,AHR,-0.0008281856046211174
526,AHRR,0.0006758554122750868
527,AHSA1,-0.0009593561927584496
528,AHSA2P,0.002713333774458946
529,AHSG,-0.0007079778068902953
530,AHSP,0.006482533581846376
531,AICDA,-0.00306372300806616
532,AIDA,-0.00273754002436983
533,AIF1,-0.00031614357468031534
534,AIF1L,0.001309312851961476
535,AIFM1,-0.000780680211593474
536,AIFM2,0.005413045553506185
537,AIFM3,-0.003219706315037033
538,AIG1,0.0009071900648064219
539,AIM2,0.000546643828850386
540,AIMP1,0.00027471643468394367
541,AIMP2,0.0016527305380081294
542,AIP,-0.0016498924347867635
543,AIPL1,1.9088835971778242e-05
544,AIRE,0.00012767176925893592
545,AIRN,0.0015973160750766139
546,AJAP1,-0.0013972305739215296
547,AJM1,0.00024315509463588276
548,AJUBA,-0.0032072013976358438
549,AK1,0.00045596145276878645
550,AK2,-0.0010418608098924662
551,AK3,-0.00012098125214409271
552,AK4,-0.0007275805307298978
553,AK5,0.00124283577300247
554,AK6,0.00013615266176061574
555,AK7,6.17412601046741e-05
556,AK8,0.003917190100903999
557,AK9,-0.0006368895847879897
558,AKAIN1,-5.014855521956517e-05
559,AKAP1,-0.0019213462329104318
560,AKAP10,0.0002890025353364486
561,AKAP11,1.963465276928786e-05
562,AKAP12,-0.0032927542258811685
563,AKAP13,0.0009246297491491422
564,AKAP14,0.005659716382003073
565,AKAP17A,0.0006579192219922208
566,AKAP2,-0.0006994100237146833
567,AKAP3,-0.002809413474757624
568,AKAP4,-4.924764245517509e-05
569,AKAP5,0.0011929756918755148
570,AKAP6,-0.0007248527365308571
571,AKAP7,0.0019632527240311033
572,AKAP8,-0.0007258713450353893
573,AKAP8L,0.002387670391327368
574,AKAP9,0.00137533827779882
575,AKIP1,-0.00044883297524271826
576,AKIRIN1,-0.0005080261533289042
577,AKIRIN2,-0.00024085010945946094
578,AKNA,-0.00037262181184464507
579,AKNAD1,-0.0005861693825227988
580,AKR1A1,-0.00015893350970324415
581,AKR1B1,-0.0011210454551817402
582,AKR1B10,-0.00022682130139298976
583,AKR1B15,0.0055174498592437185
584,AKR1C1,-0.001812173875109419
585,AKR1C2,-0.003951079845825986
586,AKR1C3,-0.0011095383698229789
587,AKR1C4,-0.0018025494085971874
588,AKR1C6P,-0.0016270111640145355
589,AKR1C8P,0.0039150446290560125
590,AKR1D1,-0.0026310483968073543
591,AKR1E2,-0.0011975820975650925
592,AKR7A2,-0.0015264871225735995
593,AKR7A2P1,0.004328708982825581
594,AKR7A3,-0.004121406144647298
595,AKR7L,0.0030756933692075465
596,AKT1,-0.0018357175160909212
597,AKT1S1,0.00011739273594282428
598,AKT2,0.0013392016907517199
599,AKT3,5.575087018494481e-05
600,AKTIP,-0.0012604095083368187
601,ALAD,-0.0007184879812643626
602,ALAS1,-0.0011902924133975782
603,ALAS2,0.0030511792382930504
604,ALB,-0.000993600001140368
605,ALCAM,0.0009609615988635535
606,ALDH16A1,0.0007212173466176123
607,ALDH18A1,-0.0002517284358048569
608,ALDH1A1,-0.002978437020150574
609,ALDH1A2,-0.003384230751639822
610,ALDH1A3,-0.0009617535248351921
611,ALDH1B1,-0.0006329316232155576
612,ALDH1L1,0.001575808056463041
613,ALDH1L1-AS1,0.004108622477440658
614,ALDH1L1-AS2,-0.0013997765013026575
615,ALDH1L2,-0.0039180355934262025
616,ALDH2,-0.0007446748567236403
617,ALDH3A1,0.0002407098247603854
618,ALDH3A2,-0.0021148084225324866
619,ALDH3B1,0.0033855446255778875
620,ALDH3B2,-0.0007336988382192128
621,ALDH4A1,-0.0033698140261153716
622,ALDH5A1,-0.0013362793699234498
623,ALDH6A1,-0.0014214218552588305
624,ALDH7A1,0.0029496441807909555
625,ALDH8A1,0.0013638935260822673
626,ALDH9A1,-0.0020068318657606265
627,ALDOA,-0.00045710661026918706
628,ALDOB,0.0006217288147689263
629,ALDOC,0.0002452016375595773
630,ALG1,-0.0007683222156065962
631,ALG10,0.0004547767296511648
632,ALG10B,0.0008176759513576057
633,ALG11,-0.0006630093252202444
634,ALG12,-0.0004466985433256193
635,ALG13,0.0011955966389173818
636,ALG14,-0.0007955293155422742
637,ALG1L,0.0010252787648965336
638,ALG1L2,-0.007952838537300413
639,ALG1L9P,0.0007927071198943124
640,ALG2,0.0006816404158818726
641,ALG3,-0.00027694830766951867
642,ALG5,-0.0010384730605793487
643,ALG6,0.0014109978603282628
644,ALG8,0.001915549914812069
645,ALG9,0.00018526869481345806
646,ALK,6.960535644636188e-05
647,ALKAL1,0.006262382591772678
648,ALKAL2,0.005107413887679243
649,ALKBH1,0.000771681907944545
650,ALKBH2,0.0004212067473029719
651,ALKBH3,0.0005205215283959363
652,ALKBH3-AS1,-0.002469420938349387
653,ALKBH4,0.0005374158403522257
654,ALKBH5,-0.0019298248458528642
655,ALKBH6,-0.001272964479863728
656,ALKBH7,-0.00019711929742239067
657,ALKBH8,0.0013265116276440778
658,ALLC,0.013062254341158624
659,ALMS1,-0.00046408930873943874
